time,gFx,gFy,gFz,TgF
0.010673000000000155,0.9772,-0.0486,-0.2085,1.0
0.02737299999999987,0.9791,-0.053,-0.207,1.0
0.052735999999999894,0.9815,-0.0502,-0.2099,1.0
0.07614099999999979,0.9801,-0.0463,-0.2099,1.0
0.08918800000000005,0.9772,-0.0448,-0.2124,1.0
0.10980599999999985,0.9767,-0.0477,-0.2109,1.0
0.13559300000000007,0.9776,-0.0516,-0.2138,1.0
0.15268799999999993,0.9772,-0.0512,-0.2148,1.0
0.1796310000000001,0.9781,-0.0497,-0.2128,1.0
0.19308799999999993,0.9772,-0.0468,-0.2134,1.0
0.2101679999999999,0.9776,-0.0462,-0.208,1.0
0.23504900000000006,0.9831,-0.0483,-0.2182,1.01
0.252135,0.9801,-0.0502,-0.2172,1.01
0.28760399999999997,0.9757,-0.0472,-0.2041,1.0
0.29344400000000004,0.9757,-0.0496,-0.2036,1.0
0.3100879999999999,0.9756,-0.0535,-0.2031,1.0
0.3355959999999998,0.9781,-0.053,-0.2079,1.0
0.351909,0.9767,-0.0497,-0.2153,1.0
0.3805580000000002,0.9757,-0.0468,-0.2153,1.0
0.393335,0.9781,-0.0458,-0.2119,1.0
0.4109560000000001,0.9786,-0.0468,-0.2134,1.0
0.43576099999999984,0.9776,-0.0496,-0.208,1.0
0.45456299999999983,0.9781,-0.0486,-0.207,1.0
0.47328400000000004,0.9801,-0.0482,-0.2089,1.0
0.49420600000000015,0.9811,-0.0502,-0.2119,1.0
0.5192350000000001,0.9811,-0.0516,-0.2099,1.0
0.538227,0.9776,-0.0482,-0.21,1.0
0.5603440000000002,0.9786,-0.0487,-0.2104,1.0
0.592711,0.9772,-0.0482,-0.2075,1.0
0.5942400000000001,0.9772,-0.0496,-0.2056,1.0
0.6183730000000001,0.9786,-0.0491,-0.2094,1.0
0.6348609999999999,0.9815,-0.0497,-0.2084,1.0
0.6656170000000001,0.9806,-0.053,-0.206,1.0
0.6890909999999999,0.9781,-0.0521,-0.2065,1.0
0.7015060000000002,0.9825,-0.0487,-0.2094,1.01
0.7184919999999999,0.9787,-0.0438,-0.2134,1.0
0.7355480000000001,0.9733,-0.0413,-0.2076,1.0
0.7656499999999999,0.9737,-0.0457,-0.2075,1.0
0.786397,0.9781,-0.0491,-0.2031,1.0
0.801539,0.9767,-0.0526,-0.2036,1.0
0.819369,0.9781,-0.053,-0.2075,1.0
0.8435999999999999,0.9855,-0.0516,-0.2094,1.01
0.8666109999999998,0.9835,-0.0472,-0.206,1.01
0.8789950000000002,0.9786,-0.0472,-0.2046,1.0
0.901481,0.9742,-0.0486,-0.2017,1.0
0.918965,0.9781,-0.0486,-0.2021,1.0
0.943441,0.9801,-0.0496,-0.207,1.0
0.961436,0.9835,-0.0555,-0.2074,1.01
0.9893079999999999,0.9811,-0.053,-0.206,1.0
1.0012240000000001,0.9795,-0.0516,-0.2011,1.0
1.0274619999999999,0.9815,-0.0496,-0.1982,1.0
1.0439660000000002,0.9796,-0.0486,-0.2026,1.0
1.07313,0.9776,-0.0511,-0.2031,1.0
1.0910199999999999,0.982,-0.0516,-0.2001,1.0
1.101363,0.9829,-0.0496,-0.1987,1.0
1.1267939999999999,0.981,-0.0466,-0.1928,1.0
1.143421,0.98,-0.0466,-0.1962,1.0
1.1742499999999998,0.982,-0.0526,-0.2084,1.01
1.19318,0.98,-0.0604,-0.2045,1.0
1.202899,0.9834,-0.0628,-0.2039,1.01
1.22703,0.9814,-0.0579,-0.1923,1.0
1.2450389999999998,0.9756,-0.0514,-0.1816,0.99
1.275226,0.9761,-0.0426,-0.1817,0.99
1.297638,0.9805,-0.0457,-0.1909,1.0
1.303366,0.9829,-0.0466,-0.1909,1.0
1.3270629999999999,0.9854,-0.0477,-0.1972,1.01
1.343842,0.9844,-0.0467,-0.1972,1.01
1.372639,0.9786,-0.0452,-0.1929,1.0
1.392248,0.9786,-0.0481,-0.1924,1.0
1.410581,0.982,-0.0457,-0.1953,1.0
1.427317,0.982,-0.0466,-0.1933,1.0
1.444674,0.9834,-0.0452,-0.1948,1.0
1.4691610000000002,0.9825,-0.0505,-0.1923,1.0
1.495362,0.9829,-0.0524,-0.1859,1.0
1.5098909999999997,0.9805,-0.0525,-0.1909,1.0
1.5266580000000003,0.9815,-0.0515,-0.1943,1.0
1.5524950000000004,0.9815,-0.0486,-0.1967,1.0
1.5692690000000002,0.98,-0.0491,-0.1972,1.0
1.5977680000000003,0.9829,-0.0467,-0.1987,1.0
1.6098229999999996,0.9825,-0.0447,-0.1957,1.0
1.626386,0.98,-0.0432,-0.1953,1.0
1.6518949999999997,0.98,-0.0476,-0.1923,1.0
1.6735439999999997,0.982,-0.0496,-0.1943,1.0
1.691706,0.982,-0.0471,-0.1957,1.0
1.7094630000000004,0.9825,-0.0481,-0.1962,1.0
1.7277740000000001,0.9834,-0.0476,-0.1967,1.0
1.7521110000000002,0.98,-0.0481,-0.1967,1.0
1.7682830000000003,0.9795,-0.0491,-0.1962,1.0
1.7944690000000003,0.9742,-0.0466,-0.1885,0.99
1.8097890000000003,0.9766,-0.0456,-0.1895,1.0
1.8283589999999998,0.9855,-0.0462,-0.2021,1.01
1.8521660000000004,0.9879,-0.0482,-0.2064,1.01
1.8745909999999997,0.98,-0.0549,-0.1982,1.0
1.890759,0.9825,-0.054,-0.2001,1.0
1.9103709999999996,0.9815,-0.051,-0.1972,1.0
1.9358259999999996,0.979,-0.0485,-0.187,1.0
1.9524369999999998,0.9771,-0.0466,-0.186,1.0
1.9830110000000003,0.9815,-0.0477,-0.2045,1.0
1.996784,0.9845,-0.0492,-0.2098,1.01
