Person,gFx,gFy,gFz,TgF,Label
1,0.15,-0.0074,0.984,1,6
1,0.1519,-0.0064,0.985,1,6
1,0.1528,-0.0089,0.987,1,6
1,0.1504,-0.0117,0.9899,1,6
1,0.1485,-0.0107,0.9894,1,6
1,0.1489,-0.0054,0.9923,1,6
1,0.1528,-0.0079,0.9865,1,6
1,0.1481,-0.005,0.9723,0.98,6
1,0.1533,-0.0039,0.9918,1,6
1,0.1563,-0.0034,0.9958,1.01,6
1,0.1626,-0.0068,0.9963,1.01,6
1,0.1593,-0.0109,0.9753,0.99,6
1,0.1451,-0.0054,0.9854,1,6
1,0.1446,-0.0024,0.9854,1,6
1,0.1485,-0.003,0.9854,1,6
1,0.1587,-0.0045,0.9855,1,6
1,0.1597,-0.0089,0.9871,1,6
1,0.1563,-0.0089,0.9855,1,6
1,0.1539,-0.007,0.9777,0.99,6
1,0.1529,-0.0074,0.9738,0.99,6
1,0.1456,-0.0064,0.9786,0.99,6
1,0.1475,-0.0068,0.9908,1,6
1,0.1563,-0.0089,0.9904,1,6
1,0.1602,-0.0089,0.988,1,6
1,0.1563,-0.0108,0.989,1,6
1,0.1479,-0.0117,0.9967,1.01,6
1,0.1441,-0.0078,0.9918,1,6
1,0.1485,0.0005,0.9898,1,6
1,0.1538,-0.0034,0.9938,1.01,6
1,0.1553,-0.0108,0.9904,1,6
1,0.1563,-0.0132,0.9822,0.99,6
1,0.151,-0.0093,0.9792,0.99,6
1,0.149,-0.0069,0.9835,0.99,6
1,0.1499,-0.0069,0.9874,1,6
1,0.1504,-0.0064,0.9864,1,6
1,0.1519,-0.0069,0.985,1,6
1,0.1504,-0.0068,0.9879,1,6
1,0.1494,-0.0093,0.9879,1,6
1,0.1489,-0.0098,0.9869,1,6
1,0.1489,-0.0103,0.9879,1,6
1,0.1524,-0.0103,0.9875,1,6
1,0.1533,-0.0074,0.9846,1,6
1,0.1504,-0.0059,0.9913,1,6
1,0.1431,-0.0112,0.986,1,6
1,0.1431,-0.0084,0.9835,0.99,6
1,0.1495,-0.0045,0.983,0.99,6
1,0.1577,-0.0064,0.9909,1,6
1,0.1641,-0.0079,0.9924,1.01,6
1,0.1563,-0.0094,0.9763,0.99,6
1,0.1407,-0.0049,0.9849,0.99,6
1,0.1402,-0.0063,0.9893,1,6
1,0.1446,-0.003,0.9825,0.99,6
1,0.1495,-0.004,0.986,1,6
1,0.1538,-0.0084,0.9894,1,6
1,0.1533,-0.0107,0.9938,1.01,6
